/content/gdrive/My Drive/AI/NEXET/nexet_2017_train/images/0012c298-4ec3-4604-a8f5-b828f1775ce6.mov-0001.jpg,603,650,289,344,truck
/content/gdrive/My Drive/AI/NEXET/nexet_2017_train/images/0012c298-4ec3-4604-a8f5-b828f1775ce6.mov-0001.jpg,496,551,330,360,pickup_truck
/content/gdrive/My Drive/AI/NEXET/nexet_2017_train/images/0012c298-4ec3-4604-a8f5-b828f1775ce6.mov-0001.jpg,321,452,306,388,pickup_truck
/content/gdrive/My Drive/AI/NEXET/nexet_2017_train/images/0012c298-4ec3-4604-a8f5-b828f1775ce6.mov-0001.jpg,0,83,283,378,car
/content/gdrive/My Drive/AI/NEXET/nexet_2017_train/images/0012c298-4ec3-4604-a8f5-b828f1775ce6.mov-0001.jpg,614,830,299,481,car
/content/gdrive/My Drive/AI/NEXET/nexet_2017_train/images/00146c1b-7af9-4864-9066-9b32913a1c3f.mov-0001.jpg,304,413,222,312,car
/content/gdrive/My Drive/AI/NEXET/nexet_2017_train/images/00146c1b-7af9-4864-9066-9b32913a1c3f.mov-0001.jpg,442,507,221,279,van
/content/gdrive/My Drive/AI/NEXET/nexet_2017_train/images/00146c1b-7af9-4864-9066-9b32913a1c3f.mov-0001.jpg,486,696,199,386,van
/content/gdrive/My Drive/AI/NEXET/nexet_2017_train/images/001b630b-1e07-447a-9706-6c0f7aa3c811.mov-0001.jpg,1047,1227,344,499,car
/content/gdrive/My Drive/AI/NEXET/nexet_2017_train/images/001b630b-1e07-447a-9706-6c0f7aa3c811.mov-0001.jpg,576,607,373,406,van
/content/gdrive/My Drive/AI/NEXET/nexet_2017_train/images/001b630b-1e07-447a-9706-6c0f7aa3c811.mov-0001.jpg,688,947,349,552,van
/content/gdrive/My Drive/AI/NEXET/nexet_2017_train/images/001b630b-1e07-447a-9706-6c0f7aa3c811.mov-0001.jpg,526,557,381,400,car
/content/gdrive/My Drive/AI/NEXET/nexet_2017_train/images/001b630b-1e07-447a-9706-6c0f7aa3c811.mov-0001.jpg,475,510,380,413,car
/content/gdrive/My Drive/AI/NEXET/nexet_2017_train/images/001b630b-1e07-447a-9706-6c0f7aa3c811.mov-0001.jpg,418,480,383,423,car
